Código de Programación;Propiedad;Tipo Muestras;Uso Previsto;No Caja;Ubicación;Condición Almacenamiento;Nombre;Potencia;Fabricante;Lote;Catalogo;Fecha de Ingreso;Fecha de Vencimiento;Unidad;Presentación;Existencia Total;Cantidad Mínima;Color Refuerzo;Certificado Analítico;Ficha de Seguridad;Factura de compra;Código del Sistema
SRPR001;Syntofarma;Medicamento;Valoración;2F1;FREEZER;Cierre hermético;Sulbactam;99,0%;USP;R15000;1623670;2023-12-12;Vigente;mg ;189 mg;182,1;0,8;AZUL ;SI;SI;NO;Syntofarma 
SRPR002;CECIF;Fito terapéutico;valoración;2.2F;FREEZER;Protegido de la luz. Congelación. Permitir que alcance la temperatura ambiente antes de abrir.;Cannbinol estándar ;;;;;;;mg;;0,0;0,3;Rojo - Azul;SI;SI;NO;31235
SRPR003;Syntofarma;Medicamentos;valoración ;1N;NEVERA;Mantener cerrado y bien refrigerado ;Ampicilina;99,0%;USP;R084V0;1033000;2026-02-25;Vigente ;mg;200 mg;102,8;50,0;AZUL ;SI;SI ;N/A;Syntofarma 
SRPR004;CECIF;Medicamentos;Infrarrojo (IR);5C;CABINA;Cierre hermético.;Salicylic Acid (Acido Salicilico);;;;;;;mg;125 mg;0,0;31,3;Verde;;;;30050026 B 
SRPR005;CECIF;Medicamentos;Limite, valoración;4N;NEVERA;Protegido de la luz. Refrigeración.;P-Chloroaniline;;;;;;;;;0,0;50,0;;;;;301057
SRPR006;CECIF;Medicamentos;Disolutor ;4N;NEVERA;Cierre hermético.;Prednisone;99,6%;USP;R083A0;1559006;2021-08-13;2026-12-31;mg;250 mg;355,6;62,5;AZUL;SI;SI;SI;3010100
SRPR007;CECIF;Medicamentos;Disolutor ;7C;CABINA;Cierre hermético. Proteger de la luz.;Dissolution Performace Verification Standart  PREDNISONE;;;;;;;Tab;30 tab;0,0;7,5;AZUL;SI;SI;SI;301051
SRPR008;SOREL;Medicamentos;Valoración HPLC;4N;NEVERA;Cierre hermético. Protegido de la luz. Refrigeración;Hidroquinone ;;;;;;;mg;500 mg;0,0;;Azul - Blanco;SI;SI;SI;Cliente 
SRPR009;;;;;CABINA;Proteger de la luz. Cierre hermético. Mantener bien cerrado;Cetirizine Hidrochloride (CETIRIZINA);;;;;;;mg;250mg;0,0;62,5;;;;;
SRPR010;;;;2.1F;FREEZER;Protegido de la luz. Congelación. Permitir que alcance la temperatura ambiente antes de abrir.;Tretinoin;;;;;;;;;0,0;7,5;;;;;
SRPR011;MEDICK (cancelo la estabilidad);Medicamentos;Valoración HPLC;3C;CABINA;Cierre Hermético;Acido  Valproico;;;;;;;;;0,0;125,0;;SI;SI ;;Cliente
SRPR012;CECIF;Medicamentos;Valoración HPLC;4N;NEVERA;Cierre hermético. Protegido de la luz. Refrigeración;Acetato de Clorhexidina;;;;;;;mg;;0,0;50,0;Azul -Blanco;;;;31167
SRPR014;CECIF;Medicamentos;Contenido de alcohol CG;7C;CABINA;Cierre hermético. Protegido de la luz;Alcohol Determination - ACN;;;;;;;ml ;;0,0;6,3;Rojo;;;;31250
SRPR015;CECIF;Medicamentos;Contenido de alcohol CG;5.C;CABINA;guárdelo en un lugar bien ventilado. Mantener fresco;Alcohol Determinación - Alcohol;1,94% (v/v);USP;R15200;1012688;2025-02-10;Vigente ;ml;10 Ampollas x 5 mL c/u;15,0;12,5;Rojo;SI;SI ;SI ;31249
SRPR016;CECIF;Medicamentos;Infrarrojo (IR), Valoración simeticona;2C;CABINA;Cierre hermético. Protegido de la luz;POLYDIMETHYLSILOXANE;;;;;;;mg;Ampolla x 500mg;0,0;125,0;Verde;SI;SI;NO;30990
